Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2008,2.75 B,6.32,13.92,0.13,,1.30%,3.90%,20.52%,
12M 2009,2.75 B,18.92,9.83,0.30,,4.03%,10.58%,19.36%,
12M 2010,3.41 B,23.64,10.79,0.56,,5.07%,14.44%,20.34%,
12M 2011,3.41 B,36.61,7.78,0.62,,6.58%,19.71%,23.98%,
12M 2012,3.41 B,51.51,17.47,1.67,,8.51%,26.66%,30.50%,528.34
12M 2013,3.41 B,56.98,8.78,0.75,,8.73%,25.80%,32.38%,48.35
12M 2014,3.41 B,48.00,23.33,1.81,,6.59%,20.52%,25.03%,
12M 2015,3.41 B,56.13,10.96,0.93,,6.72%,22.55%,26.39%,2402.27
12M 2016,3.41 B,65.40,11.70,1.10,,7.56%,24.10%,26.83%,72.41
12M 2017,3.41 B,71.71,9.20,0.77,,7.54%,24.31%,26.78%,124.36
12M 2018,3.41 B,61.19,9.15,0.69,322.68 B,6.46%,19.79%,22.92%,312.18
12M 2019,3.41 B,51.53,8.46,0.60,280.39 B,5.93%,16.28%,19.02%,
12M 2020,3.41 B,31.93,11.59,0.55,209.23 B,3.77%,9.53%,13.01%,
12M 2021,3.41 B,29.82,10.60,0.62,174.94 B,3.73%,8.24%,10.91%,
12M 2022,3.41 B,26.89,11.23,0.45,168.30 B,3.07%,7.38%,10.80%,
12M 2023,3.41 B,50.64,7.42,0.42,274.92 B,5.51%,16.14%,19.07%,
12M 2024,3.41 B,77.84,8.74,0.75,374.66 B,7.59%,22.31%,26.59%,
