Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2008,156 B,(13 B),144 B,52.23
12M 2009,196 B,(7 B),189 B,68.71
12M 2010,116 B,(12 B),104 B,30.47
12M 2011,275 B,(34 B),241 B,70.66
12M 2012,202 B,(31 B),171 B,50.14
12M 2013,(112 B),(29 B),(141 B),-41.29
12M 2014,210 B,(6 B),204 B,59.88
12M 2015,306 B,(122 B),184 B,54.00
12M 2016,209 B,(30 B),179 B,52.51
12M 2017,227 B,(40 B),186 B,54.69
12M 2018,158 B,(23 B),135 B,39.69
12M 2019,155 B,(28 B),127 B,37.15
12M 2020,(60 B),(6 B),(65 B),-19.19
12M 2021,137 B,(5 B),132 B,38.62
12M 2022,280 B,(7 B),273 B,80.08
12M 2023,91 B,(10 B),80 B,23.60
12M 2024,650 B,(7 B),644 B,188.73
