Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2008,(181 B),(62 B),(242 B),-138.15
12M 2009,5 B,(32 B),(27 B),-9.17
12M 2010,63 B,(48 B),15 B,3.12
12M 2011,188 B,(62 B),127 B,26.28
12M 2012,138 B,(27 B),111 B,23.10
12M 2013,(57 B),(37 B),(95 B),-19.64
12M 2014,218 B,(118 B),100 B,20.81
12M 2015,372 B,(100 B),272 B,56.41
12M 2016,328 B,(99 B),229 B,47.58
12M 2017,301 B,(46 B),255 B,52.79
12M 2018,57 B,(103 B),(46 B),-9.62
12M 2019,336 B,(64 B),271 B,56.28
12M 2020,298 B,(13 B),284 B,58.97
12M 2021,255 B,(6 B),249 B,51.71
12M 2022,19 B,(21 B),(2 B),-0.47
12M 2023,225 B,(55 B),170 B,35.20
12M 2024,199 B,(24 B),175 B,36.23
