Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2008,1.75 B,-360.70,-0.80,0.15,,-29.01%,104.27%,135.16%,-2.46
12M 2009,2.96 B,-54.75,-5.66,0.40,,-9.29%,103.52%,52.99%,-2.03
12M 2010,4.82 B,20.16,25.30,0.92,,5.45%,11.52%,18.69%,4.07
12M 2011,4.82 B,61.96,8.07,0.66,,8.51%,11.22%,9.10%,16.07
12M 2012,4.82 B,16.21,38.25,0.86,,2.11%,2.68%,1.79%,7.70
12M 2013,4.82 B,-23.78,-21.03,0.65,,-2.60%,-3.22%,-2.70%,-6.75
12M 2014,4.82 B,-11.91,-75.57,1.24,,-1.36%,-1.61%,-1.52%,-4.53
12M 2015,4.82 B,-4.54,-198.24,1.76,,-0.50%,-0.56%,-0.57%,-3.72
12M 2016,4.82 B,17.18,59.37,1.98,,1.91%,2.11%,1.01%,29.88
12M 2017,4.82 B,9.08,87.00,1.31,,0.98%,1.10%,2.12%,85.30
12M 2018,4.82 B,-1.46,-455.48,0.99,218.47 B,-0.15%,-0.17%,0.07%,3.86
12M 2019,4.82 B,-15.42,-30.74,0.85,109.80 B,-1.71%,-1.85%,-2.11%,-123.49
12M 2020,4.82 B,-2.59,-183.01,1.05,173.17 B,-0.28%,-0.31%,-0.46%,-26.77
12M 2021,4.82 B,39.83,17.83,1.12,358.11 B,4.02%,4.44%,5.25%,315.18
12M 2022,4.82 B,10.54,61.67,0.93,135.72 B,0.98%,1.06%,1.14%,67.87
12M 2023,4.82 B,10.43,64.24,1.08,72.26 B,0.97%,1.05%,0.01%,0.89
12M 2024,4.82 B,9.67,65.67,1.03,66.56 B,0.86%,0.92%,0.02%,1.43
