Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2013,0.57 B,27.16,5.71,0.13,,2.48%,7.18%,43.19%,1.62
12M 2014,0.57 B,28.42,5.63,0.13,,2.58%,6.99%,17.67%,1.42
12M 2015,0.57 B,26.35,4.86,0.10,,2.47%,6.06%,16.24%,1.25
12M 2016,0.57 B,24.20,9.17,0.18,,2.15%,5.17%,16.65%,1.35
12M 2017,0.57 B,35.52,6.42,0.17,,2.79%,7.13%,16.58%,1.31
12M 2018,0.57 B,27.68,9.03,0.18,71.36 B,1.84%,5.25%,14.00%,1.15
12M 2019,0.57 B,13.17,129.08,1.25,71.51 B,0.66%,2.48%,12.88%,1.18
12M 2020,0.57 B,-113.30,-1.26,0.26,(6.27 B),-5.89%,-27.23%,-4.58%,-0.39
12M 2021,0.57 B,-85.08,-1.12,0.12,(6.03 B),-4.50%,-25.52%,-5.52%,-0.98
12M 2022,0.57 B,15.67,15.83,0.26,26.50 B,0.88%,4.48%,2.72%,1.34
12M 2023,0.57 B,9.96,12.05,0.12,24.21 B,0.77%,2.76%,2.19%,1.52
12M 2024,0.57 B,4.87,25.05,0.12,34.33 B,0.39%,1.33%,5.20%,1.10
