Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2013,"(5,967,845 B)","(6,150,934 B)","(12,118,779 B)",-21321802.03
12M 2014,"24,408,903 B","(2,370,784 B)","22,038,119 B",38773906.27
12M 2015,"59,320,891 B","(965,958 B)","58,354,933 B",102669774.79
12M 2016,7 B,(5 B),1 B,2.34
12M 2017,(43 B),(6 B),(49 B),-86.57
12M 2018,76 B,(72 B),4 B,7.33
12M 2019,(195 B),(16 B),(211 B),-371.85
12M 2020,24 B,(1 B),23 B,40.19
12M 2021,1 B,(1 B),0 B,0.29
12M 2022,2 B,(19 B),(17 B),-30.15
12M 2023,(27 B),(1 B),(28 B),-48.88
12M 2024,81 B,(12 B),69 B,121.31
