Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2009,(110 B),(138 B),(248 B),-3065.16
12M 2010,5 B,(231 B),(226 B),-35.03
12M 2011,62 B,(455 B),(393 B),-61.00
12M 2012,232 B,(56 B),175 B,27.23
12M 2013,204 B,(54 B),149 B,23.20
12M 2014,158 B,(150 B),9 B,1.32
12M 2015,339 B,(206 B),132 B,20.54
12M 2016,107 B,(180 B),(73 B),-11.30
12M 2017,114 B,(101 B),13 B,1.95
12M 2018,62 B,(114 B),(53 B),-8.19
12M 2019,286 B,(19 B),267 B,41.37
12M 2020,493 B,(59 B),434 B,67.32
12M 2021,20 B,(152 B),(132 B),-20.44
12M 2022,91 B,(127 B),(36 B),-5.55
12M 2023,232 B,(336 B),(103 B),-16.01
12M 2024,20 B,"(1,380 B)","(1,360 B)",-211.05
