Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2015,1.44 B,3.42,0.00,0.00,,1.16%,3.69%,32.72%,0.84
12M 2016,1.44 B,4.06,120.20,1.57,,1.33%,4.20%,18.47%,1.06
12M 2017,1.44 B,2.60,73.85,0.49,,0.65%,2.65%,18.45%,1.12
12M 2018,1.44 B,3.09,89.32,0.54,45.64 B,0.83%,3.00%,22.51%,1.11
12M 2019,1.44 B,-2.92,-17.12,0.13,40.33 B,-0.90%,-2.86%,21.44%,1.11
12M 2020,1.44 B,-4.68,-16.24,0.38,28.17 B,-1.39%,-4.80%,10.21%,0.78
12M 2021,1.44 B,0.51,541.18,1.09,40.27 B,0.14%,0.51%,12.48%,1.03
12M 2022,1.44 B,-0.75,-76.00,0.26,30.58 B,-0.23%,-0.75%,12.94%,1.01
12M 2023,1.44 B,0.55,90.91,0.36,26.33 B,0.18%,0.54%,15.55%,0.92
12M 2024,1.44 B,0.91,20.88,0.15,27.96 B,0.30%,0.88%,16.67%,1.06
