Period,Current Ratio (Annual),Quick Ratio (Annual),Debt to Equity Ratio (Annual),Financial Leverage (Annual),LT Debt/Equity (Annual),LT Debt/Total Assets (Annual),Net Debt/Total Equity (Annual),Total Debt/Total Assets (Annual),Total Liabilities/Equity (Annual)
12M 2015,0.99,0.43,1.97,3.17,0.0,0.0,1.77,0.62,2.16
12M 2016,1.14,0.5,1.91,3.15,0.0,0.0,1.7,0.61,2.14
12M 2017,0.84,0.47,2.6,4.11,0.0,0.0,1.83,0.63,3.1
12M 2018,1.02,0.89,2.07,3.61,0.0,0.0,1.64,0.57,2.6
12M 2019,0.89,0.76,2.04,3.19,0.0,0.0,1.86,0.64,2.18
12M 2020,1.98,1.68,2.3,3.46,0.0,0.0,2.16,0.66,2.46
12M 2021,1.62,1.35,2.65,3.77,0.0,0.0,2.45,0.7,2.76
12M 2022,1.09,0.9,1.56,3.22,0.0,0.0,1.5,0.49,2.21
12M 2023,0.95,0.78,1.6,3.06,0.0,0.0,1.54,0.52,2.05
12M 2024,0.95,0.66,1.59,2.97,0.0,0.0,1.54,0.53,1.96
