Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2011,0.48 B,87.58,22.84,0.12,,2.08%,17.98%,32.90%,4.02
12M 2012,0.48 B,221.73,9.92,0.08,,4.29%,31.94%,57.31%,7.49
12M 2013,0.48 B,305.91,6.37,0.06,,4.59%,26.30%,49.84%,4.58
12M 2014,0.48 B,184.59,9.86,0.06,,3.54%,13.68%,25.25%,4.07
12M 2015,0.48 B,278.65,5.74,0.06,,3.15%,16.03%,23.45%,6.39
12M 2016,0.48 B,558.63,7.16,0.16,,7.71%,25.23%,28.54%,13.10
12M 2017,0.48 B,445.83,5.38,0.09,,4.67%,17.15%,18.04%,7.92
12M 2018,0.48 B,366.80,11.07,0.13,350.64 B,2.82%,11.97%,13.53%,4.55
12M 2019,0.48 B,330.19,11.51,0.13,388.75 B,2.67%,10.43%,13.35%,3.62
12M 2020,0.48 B,594.34,4.41,0.09,531.81 B,4.59%,16.11%,18.15%,6.14
12M 2021,0.48 B,861.50,8.88,0.21,759.59 B,5.67%,19.89%,21.61%,7.28
12M 2022,0.48 B,999.27,6.75,0.14,898.83 B,6.67%,19.23%,22.29%,5.94
12M 2023,0.48 B,768.54,7.19,0.12,806.66 B,4.87%,14.02%,18.67%,3.79
12M 2024,0.48 B,288.18,36.96,0.25,523.93 B,1.64%,5.15%,10.21%,2.27
