Period,Current Ratio (Annual),Quick Ratio (Annual),Debt to Equity Ratio (Annual),Financial Leverage (Annual),LT Debt/Equity (Annual),LT Debt/Total Assets (Annual),Net Debt/Total Equity (Annual),Total Debt/Total Assets (Annual),Total Liabilities/Equity (Annual)
12M 2010,1.16,0.4,0.38,5.43,0.0,0.0,0.17,0.07,4.43
12M 2011,1.1,0.26,2.19,8.64,0.0,0.0,1.84,0.25,7.64
12M 2012,1.13,0.31,1.76,7.45,0.0,0.0,1.48,0.24,6.45
12M 2013,1.23,0.4,0.48,5.73,0.0,0.0,0.23,0.08,4.73
12M 2014,1.19,0.44,0.54,3.86,0.0,0.0,0.29,0.14,2.86
12M 2015,1.15,0.43,0.94,5.09,0.0,0.0,0.6,0.18,4.05
12M 2016,1.4,0.71,0.91,3.27,0.0,0.0,0.45,0.28,2.23
12M 2017,1.26,0.58,0.64,3.67,0.0,0.0,0.21,0.18,2.58
12M 2018,1.29,0.71,1.39,4.25,0.0,0.0,0.34,0.33,3.18
12M 2019,1.18,0.62,0.87,3.9,0.0,0.0,0.38,0.22,2.83
12M 2020,1.21,0.64,0.64,3.51,0.0,0.0,0.14,0.18,2.45
12M 2021,1.33,0.69,1.06,3.51,0.0,0.0,0.6,0.3,2.46
12M 2022,1.45,0.64,0.84,2.88,0.0,0.0,0.51,0.29,1.84
12M 2023,1.35,0.76,0.84,2.88,0.0,0.0,0.47,0.29,1.83
12M 2024,1.3,0.55,0.75,3.14,0.0,0.0,0.29,0.24,2.09
