Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2008,0.35 B,17.23,3.89,0.02,,2.85%,6.67%,12.18%,
12M 2009,0.35 B,1.17,128.21,0.05,,0.20%,0.46%,4.66%,
12M 2010,0.35 B,21.13,12.78,0.08,,3.42%,7.66%,9.52%,
12M 2011,0.35 B,34.89,7.31,0.07,,4.81%,10.53%,9.81%,
12M 2012,0.35 B,47.30,7.40,0.08,,4.82%,10.25%,11.30%,188.26
12M 2013,0.35 B,57.90,6.91,0.09,,4.51%,9.32%,9.79%,188.53
12M 2014,0.35 B,106.66,9.33,0.21,,6.83%,12.96%,8.52%,176.65
12M 2015,0.35 B,79.57,15.71,0.28,,4.36%,7.64%,6.41%,138.99
12M 2016,0.35 B,77.18,11.66,0.20,,4.17%,7.37%,5.96%,136.54
12M 2017,0.35 B,93.91,14.91,0.27,,4.37%,8.27%,9.68%,33.11
12M 2018,0.35 B,112.84,17.15,0.33,41.77 B,4.98%,8.99%,8.24%,35.12
12M 2019,0.35 B,135.15,8.73,0.17,49.70 B,5.86%,11.01%,9.57%,102.47
12M 2020,0.35 B,4.77,233.75,0.71,(30.83 B),0.24%,0.43%,-7.81%,-89.07
12M 2021,0.35 B,1.46,773.97,0.81,(13.40 B),0.07%,0.11%,-4.07%,-51.27
12M 2022,0.35 B,121.69,8.18,0.20,36.59 B,5.42%,10.39%,6.34%,41.33
12M 2023,0.35 B,200.46,7.41,0.24,72.82 B,8.01%,15.75%,14.67%,117.30
12M 2024,0.35 B,289.26,4.77,0.19,106.77 B,10.54%,20.84%,20.09%,166.06
