Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2008,16 B,(13 B),2 B,6.84
12M 2009,8 B,(9 B),(1 B),-3.08
12M 2010,(1 B),(11 B),(12 B),-33.49
12M 2011,60 B,(4 B),55 B,156.36
12M 2012,28 B,(3 B),25 B,0.00
12M 2013,66 B,(3 B),63 B,177.90
12M 2014,8 B,(33 B),(25 B),-69.75
12M 2015,37 B,(9 B),29 B,80.73
12M 2016,(7 B),(4 B),(11 B),-30.59
12M 2017,32 B,(11 B),20 B,57.56
12M 2018,29 B,(11 B),18 B,49.70
12M 2019,71 B,(4 B),67 B,190.80
12M 2020,98 B,(3 B),95 B,268.30
12M 2021,(37 B),(3 B),(40 B),-112.73
12M 2022,(10 B),(9 B),(18 B),-52.30
12M 2023,89 B,(5 B),83 B,235.32
12M 2024,155 B,(15 B),139 B,394.46
