Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2008,0 B,(0 B),(0 B),-4.91
12M 2009,1 B,(1 B),1 B,17.04
12M 2010,8 B,(0 B),8 B,135.33
12M 2011,7 B,(1 B),6 B,27.29
12M 2012,7 B,(0 B),7 B,30.23
12M 2013,7 B,(5 B),2 B,9.09
12M 2014,(5 B),(5 B),(10 B),-43.12
12M 2015,(3 B),(2 B),(5 B),-23.26
12M 2016,(3 B),(0 B),(3 B),-13.68
12M 2017,(4 B),(10 B),(15 B),-62.33
12M 2018,(5 B),(2 B),(7 B),-31.68
12M 2019,(4 B),(2 B),(6 B),-26.94
12M 2020,(7 B),(5 B),(12 B),-49.45
12M 2021,1 B,(1 B),(0 B),-0.01
12M 2022,(5 B),(1 B),(6 B),-27.36
12M 2023,(4 B),(1 B),(5 B),-19.46
12M 2024,(4 B),(1 B),(4 B),-18.57
