Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2008,0.06 B,-19.02,-26.29,1.25,,-1.16%,-1.46%,0.80%,3.35
12M 2009,0.06 B,16.64,48.08,2.01,,0.99%,1.26%,1.01%,297.60
12M 2010,0.06 B,33.93,26.53,2.20,,1.78%,2.51%,2.74%,179.72
12M 2011,0.23 B,18.86,33.93,5.99,,3.59%,5.29%,3.66%,1029.13
12M 2012,0.23 B,17.88,39.15,7.06,,3.84%,4.71%,3.81%,414.20
12M 2013,0.23 B,-8.91,-77.44,4.11,,-2.11%,-2.51%,6.99%,
12M 2014,0.23 B,-4.70,-146.81,7.66,,-1.19%,-1.34%,-4.58%,
12M 2015,0.23 B,-20.07,-11.36,2.25,,-5.30%,-6.06%,-5.26%,
12M 2016,0.23 B,-10.15,-36.06,3.44,,-2.79%,-3.16%,-4.71%,
12M 2017,0.23 B,-20.61,-12.81,2.50,,-5.98%,-6.91%,-4.63%,
12M 2018,0.23 B,-29.79,-7.72,1.91,(4.88 B),-9.23%,-11.06%,-7.08%,
12M 2019,0.23 B,-34.62,-6.47,1.76,(4.69 B),-10.54%,-15.07%,-9.15%,
12M 2020,0.23 B,-37.40,-5.83,2.22,(9.28 B),-11.94%,-19.30%,-17.45%,
12M 2021,0.23 B,-13.39,-23.15,2.67,(1.97 B),-4.46%,-7.30%,-5.73%,
12M 2022,0.23 B,-29.81,-5.27,1.68,(7.07 B),-11.21%,-19.11%,-17.00%,
12M 2023,0.23 B,-31.19,-8.21,2.34,(4.14 B),-13.15%,-24.87%,-14.36%,
12M 2024,0.23 B,-6.17,-72.29,3.78,0.16 B,-2.91%,-5.10%,-3.26%,
