Period,Current Ratio (Annual),Quick Ratio (Annual),Debt to Equity Ratio (Annual),Financial Leverage (Annual),LT Debt/Equity (Annual),LT Debt/Total Assets (Annual),Net Debt/Total Equity (Annual),Total Debt/Total Assets (Annual),Total Liabilities/Equity (Annual)
12M 2008,1.2,0.68,0.4,2.13,0.0,0.0,0.34,0.19,1.13
12M 2009,1.2,0.75,0.42,2.31,0.0,0.0,0.32,0.18,1.31
12M 2010,1.27,0.71,0.65,2.18,0.0,0.0,0.55,0.3,1.18
12M 2011,1.36,0.71,0.44,2.1,0.0,0.0,0.4,0.21,1.1
12M 2012,1.59,0.96,0.25,1.81,0.0,0.0,0.21,0.14,0.81
12M 2013,1.44,0.99,0.73,2.42,0.0,0.0,0.47,0.3,1.42
12M 2014,1.37,0.91,0.79,2.4,0.0,0.0,0.62,0.33,1.4
12M 2015,1.16,0.72,1.19,3.11,0.0,0.0,0.9,0.38,2.11
12M 2016,1.23,0.77,0.78,2.72,0.0,0.0,0.64,0.29,1.72
12M 2017,1.19,0.73,1.04,2.74,0.0,0.0,0.85,0.38,1.74
12M 2018,1.17,0.63,0.88,2.51,0.0,0.0,0.79,0.35,1.51
12M 2019,1.24,0.8,0.54,2.06,0.0,0.0,0.46,0.26,1.06
12M 2020,1.65,0.98,0.39,1.88,0.0,0.0,0.31,0.21,0.88
12M 2021,1.84,1.11,0.52,1.93,0.0,0.0,0.4,0.27,0.93
12M 2022,2.32,1.18,0.4,1.75,0.0,0.0,0.33,0.23,0.75
12M 2023,2.9,1.65,0.12,1.44,0.0,0.0,0.04,0.09,0.44
12M 2024,2.72,1.41,0.1,1.37,0.0,0.0,0.06,0.07,0.37
