Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2008,(18 B),(16 B),(34 B),-83.70
12M 2009,8 B,(9 B),(1 B),-2.85
12M 2010,(22 B),(11 B),(34 B),-83.58
12M 2011,46 B,(19 B),26 B,65.30
12M 2012,50 B,(4 B),47 B,115.85
12M 2013,85 B,(182 B),(96 B),-237.65
12M 2014,(24 B),(56 B),(80 B),-197.43
12M 2015,(42 B),(53 B),(95 B),-235.07
12M 2016,86 B,(14 B),71 B,176.30
12M 2017,(61 B),(85 B),(146 B),-361.43
12M 2018,89 B,(117 B),(29 B),-70.80
12M 2019,258 B,(99 B),159 B,392.70
12M 2020,92 B,(16 B),76 B,187.59
12M 2021,(53 B),(14 B),(67 B),-165.88
12M 2022,36 B,(9 B),27 B,66.46
12M 2023,266 B,(17 B),248 B,613.54
12M 2024,63 B,(50 B),13 B,32.50
