Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2010,(3 B),(66 B),(69 B),-50212.24
12M 2011,(7 B),(159 B),(166 B),-10.75
12M 2012,190 B,(129 B),60 B,3.90
12M 2013,(639 B),(890 B),"(1,529 B)",-92.86
12M 2014,648 B,(633 B),15 B,0.91
12M 2015,849 B,(955 B),(106 B),-6.42
12M 2016,89 B,(128 B),(39 B),-2.35
12M 2017,183 B,(109 B),74 B,4.47
12M 2018,179 B,(97 B),82 B,4.98
12M 2019,52 B,(51 B),1 B,0.05
12M 2020,122 B,(27 B),95 B,5.78
12M 2021,47 B,(76 B),(29 B),-1.74
12M 2022,82 B,(96 B),(14 B),-0.84
12M 2023,39 B,(26 B),13 B,0.77
