Period,Current Ratio (Annual),Quick Ratio (Annual),Debt to Equity Ratio (Annual),Financial Leverage (Annual),LT Debt/Equity (Annual),LT Debt/Total Assets (Annual),Net Debt/Total Equity (Annual),Total Debt/Total Assets (Annual),Total Liabilities/Equity (Annual)
12M 2008,0.63,0.38,1.53,3.14,1.11,0.35,1.41,0.49,1.86
12M 2009,0.59,0.4,1.54,3.11,0.0,0.0,1.44,0.49,1.99
12M 2010,0.78,0.56,1.49,3.04,0.0,0.0,1.38,0.49,1.91
12M 2011,2.82,2.59,0.59,1.76,0.0,0.0,0.14,0.33,0.73
12M 2012,0.82,0.67,0.59,1.84,0.0,0.0,0.41,0.32,0.81
12M 2013,0.65,0.43,0.9,2.14,0.0,0.0,0.83,0.42,1.12
12M 2014,0.53,0.41,1.15,2.38,0.0,0.0,1.1,0.48,1.36
12M 2015,0.47,0.35,1.4,2.67,0.0,0.0,1.39,0.53,1.65
12M 2016,0.29,0.22,1.79,3.22,0.0,0.0,1.78,0.56,2.19
12M 2017,0.15,0.11,1.9,4.06,0.0,0.0,1.89,0.47,3.03
12M 2018,0.9,0.68,3.5,5.23,0.0,0.0,3.48,0.67,4.2
12M 2019,0.39,0.23,6.85,9.27,0.0,0.0,6.83,0.74,8.23
12M 2020,0.32,0.24,11.16,15.05,0.0,0.0,11.12,0.74,14.0
12M 2021,0.38,0.22,11.58,16.8,0.0,0.0,11.52,0.69,15.75
12M 2022,0.4,0.15,20.56,33.0,0.0,0.0,20.54,0.62,31.91
12M 2023,0.45,0.24,2.02,3.76,0.0,0.0,2.01,0.54,2.75
12M 2024,1.0,0.59,0.73,2.85,0.0,0.0,0.73,0.26,1.84
