Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2009,87 B,(176 B),(89 B),-284292.61
12M 2010,114 B,(179 B),(66 B),-193769.13
12M 2011,203 B,(299 B),(96 B),-25.34
12M 2012,246 B,(578 B),(332 B),-88.00
12M 2013,55 B,(517 B),(462 B),-122.44
12M 2014,95 B,(429 B),(334 B),-88.40
12M 2015,9 B,(349 B),(340 B),-90.01
12M 2016,46 B,(69 B),(23 B),-6.03
12M 2017,(156 B),(85 B),(241 B),-63.94
12M 2018,(311 B),(66 B),(377 B),-99.85
12M 2019,(134 B),(70 B),(205 B),-54.25
12M 2020,(248 B),(32 B),(279 B),-73.97
12M 2021,(128 B),(35 B),(163 B),-43.17
12M 2022,(138 B),(43 B),(181 B),-47.95
12M 2023,(121 B),(88 B),(209 B),-12.87
12M 2024,(179 B),(70 B),(250 B),-15.37
