Period,Days Sales Outstanding (Annual),Days Inventory (Annual),Payables Period (Annual),Cash Conversion Cycle (Annual),Receivables Turnover (Annual),Receivables Turnover (TTM),Inventory Turnover (Annual),Inventory Turnover (TTM),Fixed Assets Turnover (Annual),Fixed Assets Turnover (TTM),Asset Turnover (Annual),Asset Turnover (TTM),Working Capital Turnover (Annual),Working Capital Turnover (TTM),Working Capital Ratio (Annual)
12M 2008,,,,,,,,,,,,,,,0.63
12M 2009,8.57,41.4,27.35,22.62,42.58,,8.82,,2.19,,0.5,,-7.11,,0.59
12M 2010,11.06,42.08,30.61,22.53,33.01,,8.67,,2.13,,0.44,,-14.13,,0.78
12M 2011,14.53,41.48,21.96,34.05,25.11,23.07,8.8,7.12,2.4,2.03,0.43,0.34,1.68,1.68,2.82
12M 2012,13.53,47.35,58.43,2.45,26.98,32.28,7.71,6.55,1.5,1.33,0.33,0.31,-9.54,-9.54,0.82
12M 2013,12.55,63.91,86.39,-9.93,29.09,24.25,5.71,5.04,0.93,0.86,0.26,0.25,-4.63,-4.63,0.65
12M 2014,10.32,46.39,56.49,0.22,35.36,33.78,7.87,9.59,0.85,0.8,0.27,0.25,-3.6,-3.6,0.53
12M 2015,8.55,37.67,55.64,-9.42,42.67,30.92,9.69,8.76,0.64,0.59,0.2,0.19,-2.73,-2.73,0.47
12M 2016,11.16,36.7,58.73,-10.87,32.69,35.66,9.95,9.78,0.55,0.56,0.18,0.18,-1.3,-1.3,0.29
12M 2017,10.2,37.95,59.62,-11.47,35.77,38.13,9.62,9.48,0.53,0.54,0.17,0.17,-0.51,-0.51,0.15
12M 2018,7.77,32.63,36.85,3.55,47.0,16.2,11.19,8.06,0.74,0.75,0.22,0.21,-20.79,-20.79,0.9
12M 2019,10.07,39.23,43.04,6.26,36.25,28.83,9.3,9.56,0.75,0.76,0.21,0.21,-2.7,-2.7,0.39
12M 2020,15.07,42.83,68.57,-10.67,24.22,23.52,8.52,11.25,0.5,0.51,0.13,0.13,-1.32,-1.32,0.32
12M 2021,8.71,32.79,41.76,-0.26,41.91,34.19,11.13,8.43,0.98,1.0,0.24,0.24,-2.35,-2.35,0.38
12M 2022,8.06,49.52,37.38,20.2,45.26,35.38,7.37,5.85,1.19,1.22,0.27,0.27,-2.47,-2.47,0.4
12M 2023,9.6,58.02,50.31,17.31,38.0,35.73,6.29,6.63,1.16,1.17,0.25,0.25,-2.72,-2.72,0.45
12M 2024,27.85,65.29,54.45,38.69,13.11,9.71,5.59,5.64,1.46,1.48,0.28,0.28,-667.19,-667.19,1.0
