Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2008,13 B,(12 B),1 B,1.55
12M 2009,12 B,(11 B),0 B,0.57
12M 2010,8 B,(9 B),(1 B),-0.82
12M 2011,18 B,(9 B),8 B,11.97
12M 2012,15 B,(14 B),1 B,2.05
12M 2013,27 B,(32 B),(5 B),-7.90
12M 2014,23 B,(22 B),1 B,1.51
12M 2015,30 B,(20 B),10 B,14.34
12M 2016,2 B,(12 B),(10 B),-15.18
12M 2017,2 B,(28 B),(25 B),-36.85
12M 2018,15 B,(32 B),(17 B),-25.19
12M 2019,55 B,(37 B),18 B,26.52
12M 2020,100 B,(10 B),90 B,130.75
12M 2021,128 B,(17 B),110 B,159.84
12M 2022,16 B,(50 B),(33 B),-48.14
12M 2023,53 B,(70 B),(17 B),-2.46
12M 2024,32 B,(180 B),(148 B),-21.49
