Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2008,1.49 B,202.10,1.81,0.04,,5.21%,22.99%,37.91%,3.28
12M 2009,2.13 B,421.56,3.32,0.21,,14.81%,42.77%,34.61%,5.97
12M 2010,2.13 B,511.83,6.15,0.48,,15.63%,35.50%,32.95%,7.46
12M 2011,2.13 B,289.41,13.22,0.52,,7.46%,18.60%,23.15%,2.78
12M 2012,2.13 B,465.11,13.22,0.74,,9.05%,22.80%,24.86%,4.66
12M 2013,10.66 B,55.84,21.85,0.61,,3.99%,12.53%,19.03%,4.08
12M 2014,10.66 B,31.18,30.47,0.41,,2.11%,6.83%,10.33%,2.11
12M 2015,10.66 B,43.92,14.46,0.27,,2.73%,8.34%,15.28%,2.54
12M 2016,11.41 B,180.94,8.04,0.61,,10.72%,23.35%,22.59%,5.72
12M 2017,11.41 B,87.41,14.87,0.50,,4.73%,10.83%,14.98%,4.00
12M 2018,11.73 B,184.88,11.63,0.74,"4,779.77 B",8.73%,21.34%,22.98%,4.84
12M 2019,11.73 B,150.53,10.20,0.46,"4,238.86 B",6.62%,15.73%,17.33%,3.82
12M 2020,11.73 B,78.17,18.74,0.46,"3,963.69 B",3.53%,8.59%,12.79%,2.88
12M 2021,11.73 B,172.48,9.97,0.45,"4,471.34 B",7.07%,16.53%,15.21%,3.91
12M 2022,11.73 B,121.08,10.70,0.31,"3,802.69 B",4.34%,11.14%,12.28%,3.36
12M 2023,11.73 B,79.28,14.88,0.27,"3,303.08 B",2.73%,7.03%,9.45%,2.23
12M 2024,11.73 B,257.44,7.54,0.41,"6,229.51 B",8.71%,19.51%,20.75%,5.82
