Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2008,0.35 B,22.94,12.21,0.61,,7.01%,12.35%,40.22%,4.86
12M 2009,0.35 B,72.48,7.17,0.67,,15.83%,28.75%,46.69%,14.44
12M 2010,0.35 B,215.93,5.37,0.91,,31.97%,49.13%,75.71%,26.57
12M 2011,1.77 B,45.04,6.66,1.05,,25.57%,43.04%,55.89%,
12M 2012,1.77 B,24.07,15.45,1.57,,9.54%,20.71%,27.07%,10.18
12M 2013,1.77 B,23.11,13.15,0.90,,7.11%,17.43%,23.49%,4.92
12M 2014,1.77 B,30.46,12.48,0.81,,8.18%,19.49%,26.29%,3.96
12M 2015,1.71 B,36.65,6.33,0.40,,7.08%,19.29%,29.99%,4.11
12M 2016,1.71 B,45.34,6.79,0.47,,7.38%,14.74%,24.75%,3.65
12M 2017,1.71 B,45.27,6.10,0.38,,7.64%,14.00%,23.33%,4.04
12M 2018,1.71 B,65.53,7.57,0.67,199.20 B,10.32%,18.40%,25.30%,6.65
12M 2019,1.71 B,98.10,9.99,1.17,287.73 B,14.58%,24.08%,34.98%,13.60
12M 2020,1.71 B,42.04,24.07,1.77,144.96 B,6.94%,9.99%,14.39%,7.61
12M 2021,1.71 B,53.42,19.77,1.68,172.07 B,7.55%,10.69%,15.41%,12.22
12M 2022,6.85 B,18.57,14.22,1.27,230.74 B,8.14%,13.41%,19.22%,15.91
12M 2023,6.85 B,30.30,10.17,0.92,349.44 B,11.60%,20.83%,28.26%,47.96
12M 2024,6.85 B,34.73,6.33,0.71,348.06 B,11.57%,20.64%,24.89%,62.58
