Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2008,21 B,(19 B),2 B,6.55
12M 2009,31 B,(16 B),14 B,40.74
12M 2010,94 B,(46 B),47 B,135.27
12M 2011,111 B,(53 B),59 B,33.08
12M 2012,(6 B),(57 B),(64 B),-36.00
12M 2013,102 B,(48 B),54 B,30.34
12M 2014,(46 B),(40 B),(87 B),-48.90
12M 2015,(10 B),(100 B),(110 B),-64.18
12M 2016,90 B,(24 B),66 B,38.71
12M 2017,128 B,(38 B),90 B,52.71
12M 2018,154 B,(40 B),115 B,66.84
12M 2019,149 B,(96 B),53 B,31.10
12M 2020,168 B,(47 B),121 B,70.68
12M 2021,198 B,(40 B),159 B,92.78
12M 2022,157 B,(117 B),41 B,5.92
12M 2023,473 B,(94 B),379 B,55.33
12M 2024,361 B,(106 B),255 B,37.23
