Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2008,29 B,(5 B),24 B,451.81
12M 2009,50 B,(4 B),46 B,888.55
12M 2010,33 B,(2 B),31 B,588.24
12M 2011,40 B,(8 B),32 B,613.51
12M 2012,67 B,(6 B),60 B,1155.65
12M 2013,53 B,(35 B),18 B,346.77
12M 2014,62 B,(51 B),10 B,199.52
12M 2015,59 B,(24 B),35 B,68.03
12M 2016,53 B,(18 B),35 B,67.83
12M 2017,10 B,(45 B),(36 B),-68.62
12M 2018,9 B,(7 B),2 B,3.27
12M 2019,(5 B),(11 B),(16 B),-31.58
12M 2020,5 B,(11 B),(6 B),-10.94
12M 2021,(12 B),(1 B),(13 B),-24.14
12M 2022,(42 B),(4 B),(47 B),-89.75
12M 2023,4 B,(4 B),(0 B),-0.38
12M 2024,92 B,(8 B),84 B,162.24
