Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2008,0.05 B,727.48,4.23,0.70,,14.95%,18.81%,47.54%,
12M 2009,0.05 B,646.21,3.25,0.55,,12.39%,14.76%,19.33%,
12M 2010,0.05 B,742.68,5.12,0.95,,12.71%,14.86%,18.20%,
12M 2011,0.05 B,1009.98,5.20,1.02,,14.36%,17.39%,19.81%,
12M 2012,0.05 B,1641.30,6.34,1.62,,19.69%,22.96%,19.30%,
12M 2013,0.05 B,1245.03,9.64,1.87,,12.99%,15.58%,14.32%,
12M 2014,0.05 B,942.05,9.87,1.28,,8.17%,11.04%,10.69%,
12M 2015,0.52 B,88.47,11.87,1.40,,7.20%,10.12%,7.84%,
12M 2016,0.52 B,81.41,12.90,1.44,,6.17%,9.00%,9.58%,24.32
12M 2017,0.52 B,17.85,42.86,1.14,,1.36%,2.05%,2.55%,6.62
12M 2018,0.52 B,28.22,24.10,0.83,26.38 B,2.11%,3.09%,2.62%,7.06
12M 2019,0.52 B,1.78,262.92,0.65,15.72 B,0.13%,0.20%,1.04%,2.66
12M 2020,0.52 B,-18.40,-18.80,0.60,(1.69 B),-1.48%,-2.16%,-2.19%,-5.31
12M 2021,0.52 B,-16.80,-20.36,0.59,0.40 B,-1.27%,-1.88%,-1.75%,-6.24
12M 2022,0.52 B,4.45,189.89,1.08,32.93 B,0.34%,0.49%,4.46%,18.63
12M 2023,0.52 B,12.74,45.13,0.66,35.42 B,0.89%,1.35%,4.84%,7.81
12M 2024,0.52 B,20.31,19.69,0.49,20.53 B,1.48%,2.11%,2.23%,4.08
