Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2013,478 B,(171 B),308 B,223.80
12M 2014,(35 B),(168 B),(203 B),-145.92
12M 2015,350 B,(142 B),208 B,149.84
12M 2016,359 B,(113 B),246 B,177.00
12M 2017,(129 B),(144 B),(273 B),-196.83
12M 2018,108 B,(318 B),(210 B),-151.12
12M 2019,762 B,(885 B),(123 B),-88.33
12M 2020,(109 B),(57 B),(165 B),-119.11
12M 2021,170 B,(97 B),72 B,52.17
12M 2022,648 B,(97 B),551 B,396.89
12M 2023,982 B,(405 B),576 B,415.02
12M 2024,474 B,(72 B),402 B,289.49
