Period,Current Ratio (Annual),Quick Ratio (Annual),Debt to Equity Ratio (Annual),Financial Leverage (Annual),LT Debt/Equity (Annual),LT Debt/Total Assets (Annual),Net Debt/Total Equity (Annual),Total Debt/Total Assets (Annual),Total Liabilities/Equity (Annual)
12M 2013,0.64,0.23,0.56,2.54,0.0,0.0,0.51,0.22,1.54
12M 2014,1.0,0.39,0.79,2.58,0.0,0.0,0.74,0.31,1.58
12M 2015,1.02,0.43,0.81,2.67,0.0,0.0,0.76,0.3,1.67
12M 2016,0.73,0.26,0.59,2.09,0.0,0.0,0.59,0.28,1.09
12M 2017,1.5,0.57,0.84,2.07,0.0,0.0,0.83,0.4,1.07
12M 2018,1.81,0.75,1.03,2.42,0.0,0.0,1.03,0.43,1.42
12M 2019,0.51,0.1,1.41,3.19,0.0,0.0,1.41,0.44,2.19
12M 2020,0.72,0.12,1.64,3.02,0.0,0.0,1.64,0.54,2.02
12M 2021,2.14,0.42,1.78,3.04,0.0,0.0,1.78,0.59,2.04
12M 2022,2.73,1.26,2.05,3.45,0.0,0.0,2.05,0.59,2.45
12M 2023,1.18,0.22,2.53,4.37,0.0,0.0,2.52,0.58,3.37
12M 2024,1.54,0.39,3.21,5.2,0.0,0.0,3.21,0.62,4.2
