Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2011,(29 B),(13 B),(42 B),-27.68
12M 2012,(103 B),(13 B),(116 B),-77.42
12M 2013,(3 B),(2 B),(5 B),-3.20
12M 2014,161 B,(28 B),133 B,11.05
12M 2015,171 B,(59 B),112 B,8.96
12M 2016,313 B,(155 B),157 B,12.59
12M 2017,244 B,(120 B),123 B,9.86
12M 2018,361 B,(117 B),244 B,19.50
12M 2019,175 B,(32 B),143 B,11.44
12M 2020,206 B,(30 B),177 B,14.14
12M 2021,146 B,(24 B),122 B,9.77
12M 2022,164 B,(48 B),116 B,9.26
12M 2023,59 B,(37 B),23 B,1.80
12M 2024,(27 B),(0 B),(27 B),-2.18
