Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2008,235 B,(86 B),149 B,64.13
12M 2009,178 B,,150 B,64.81
12M 2010,228 B,(33 B),195 B,83.97
12M 2011,417 B,(50 B),367 B,158.39
12M 2012,269 B,(92 B),177 B,76.15
12M 2013,305 B,(128 B),177 B,76.41
12M 2014,274 B,(167 B),107 B,46.28
12M 2015,146 B,(128 B),18 B,7.96
12M 2016,326 B,(465 B),(139 B),-59.96
12M 2017,165 B,(398 B),(233 B),-100.33
12M 2018,364 B,(573 B),(209 B),-89.96
12M 2019,120 B,(479 B),(359 B),-154.65
12M 2020,(38 B),(168 B),(207 B),-89.16
12M 2021,(38 B),(135 B),(173 B),-74.69
12M 2022,311 B,(142 B),169 B,72.76
12M 2023,468 B,(140 B),329 B,141.73
12M 2024,779 B,(92 B),688 B,296.50
