Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2008,,,0.00,0.00,,37.08%,77.79%,201.02%,
12M 2009,7.63 B,398.87,27.70,4.62,,40.66%,82.19%,113.25%,
12M 2010,7.63 B,443.60,37.20,6.39,,38.90%,83.67%,109.09%,151.79
12M 2011,7.63 B,545.66,34.45,6.11,,39.72%,113.24%,131.36%,205.86
12M 2012,7.63 B,634.24,32.87,5.83,,40.38%,121.95%,153.68%,94.33
12M 2013,7.63 B,701.52,37.06,6.45,,40.10%,125.81%,152.80%,356.32
12M 2014,7.63 B,752.10,42.95,7.14,,40.18%,124.78%,150.08%,80.80
12M 2015,7.63 B,766.95,48.24,7.74,,37.20%,121.22%,144.11%,65.87
12M 2016,7.63 B,837.57,46.32,7.39,,38.16%,135.85%,151.83%,60.79
12M 2017,7.63 B,918.03,60.89,10.35,,37.05%,135.40%,155.14%,74.37
12M 2018,7.63 B,1193.90,38.03,8.29,"13,327.95 B",46.66%,120.21%,166.35%,113.02
12M 2019,7.63 B,968.92,43.35,7.47,"11,250.25 B",35.80%,139.97%,126.73%,43.96
12M 2020,38.15 B,187.77,39.14,6.53,"10,554.45 B",34.89%,145.09%,128.05%,37.99
12M 2021,38.15 B,150.93,27.23,3.96,"8,756.36 B",30.20%,133.25%,111.29%,41.54
12M 2022,38.15 B,140.62,33.42,4.35,"8,122.79 B",29.29%,134.21%,113.11%,82.96
12M 2023,38.15 B,125.84,28.05,3.49,"7,232.83 B",28.81%,141.99%,110.98%,59.26
12M 2024,38.15 B,88.30,21.35,2.05,"5,292.45 B",20.99%,156.74%,91.44%,53.23
