Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2011,612 B,(538 B),74 B,11.90
12M 2012,585 B,"(1,075 B)",(490 B),-69.33
12M 2013,992 B,"(1,259 B)",(267 B),0.00
12M 2014,823 B,"(1,169 B)",(347 B),-49.12
12M 2015,"1,026 B","(1,066 B)",(40 B),-5.65
12M 2016,"1,139 B",(680 B),459 B,146.55
12M 2017,671 B,(681 B),(10 B),0.00
12M 2018,853 B,(716 B),137 B,94.09
12M 2019,954 B,(373 B),581 B,58.31
12M 2020,623 B,(511 B),112 B,11.27
12M 2021,569 B,(44 B),525 B,52.69
12M 2022,291 B,(26 B),265 B,26.58
12M 2023,0 B,(36 B),(36 B),-3.62
12M 2024,161 B,(60 B),101 B,10.16
