Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2008,"3,779 B","(1,353 B)","2,426 B",105.63
12M 2009,"6,953 B","(1,800 B)","5,153 B",212.57
12M 2010,"9,545 B","(1,142 B)","8,404 B",346.66
12M 2011,"8,314 B",(686 B),"7,628 B",314.67
12M 2012,"11,279 B","(1,540 B)","9,739 B",401.74
12M 2013,"10,111 B","(3,871 B)","6,240 B",257.40
12M 2014,"11,155 B","(6,347 B)","4,808 B",198.34
12M 2015,"7,290 B","(13,514 B)","(6,224 B)",-256.76
12M 2016,"8,808 B","(5,720 B)","3,088 B",127.40
12M 2017,"7,829 B","(3,542 B)","4,287 B",176.85
12M 2018,"13,308 B","(5,331 B)","7,976 B",329.04
12M 2019,"11,268 B","(3,344 B)","7,924 B",326.88
12M 2020,"5,880 B","(3,990 B)","1,890 B",77.95
12M 2021,"8,320 B","(3,168 B)","5,152 B",212.51
12M 2022,"15,120 B","(2,069 B)","13,051 B",538.35
12M 2023,"11,173 B","(1,888 B)","9,285 B",383.03
12M 2024,"12,687 B","(2,244 B)","10,443 B",430.78
