Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2008,0.22,683.56,0.22,683.56,,,,,
12M 2009,0.32,785.36,0.32,785.36,,,,,
12M 2010,0.60,942.63,0.60,942.63,,,,,
12M 2011,0.36,1148.54,0.36,1148.54,,,,,
12M 2012,0.39,1345.02,0.39,1345.02,,,,,
12M 2013,0.38,1752.44,0.38,1752.44,,,,,
12M 2014,0.38,1952.24,0.40,1861.40,,,,,
12M 2015,0.26,2112.52,0.27,2028.06,,,,,
12M 2016,0.21,2912.44,0.21,2834.35,,,,,
12M 2017,0.28,3173.68,0.28,3101.97,,,,,
12M 2018,0.29,3680.69,0.29,3615.00,,,,,
12M 2019,0.27,4075.57,0.27,4014.19,,,,,
12M 2020,0.20,4329.66,0.20,4272.59,,,,,
12M 2021,0.15,4524.11,0.15,4471.35,,,,,
12M 2022,0.25,5031.22,0.25,4982.77,,,,,
12M 2023,0.20,4884.69,0.21,4756.27,,,,,
12M 2024,0.19,5536.56,0.20,5389.93,,,,,
