Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2008,(397 B),(13 B),(409 B),-100.63
12M 2009,127 B,(8 B),119 B,29.25
12M 2010,25 B,(13 B),12 B,2.89
12M 2011,799 B,(12 B),787 B,193.37
12M 2012,7 B,(13 B),(5 B),-1.28
12M 2013,(207 B),(9 B),(216 B),-53.02
12M 2014,974 B,(10 B),965 B,237.10
12M 2015,(737 B),(13 B),(749 B),-184.20
12M 2016,(266 B),(4 B),(270 B),-66.28
12M 2017,(436 B),(15 B),(451 B),-110.77
12M 2018,21 B,(2 B),18 B,4.55
12M 2019,(252 B),(2 B),(254 B),-62.49
12M 2020,48 B,(2 B),46 B,11.33
12M 2021,(57 B),(4 B),(61 B),-15.01
12M 2022,(809 B),(16 B),(824 B),-202.62
12M 2023,"3,803 B",(165 B),"3,638 B",894.35
12M 2024,"17,800 B",(325 B),"17,475 B",4295.47
