Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2008,4.07 B,116.23,1.28,0.43,,6.96%,17.00%,14.51%,
12M 2009,4.07 B,147.44,1.73,0.45,,7.40%,18.77%,8.25%,
12M 2010,4.07 B,216.56,2.63,0.88,,9.41%,22.97%,10.41%,
12M 2011,4.07 B,167.02,2.48,0.46,,5.87%,14.54%,10.38%,
12M 2012,4.07 B,194.10,2.68,0.77,,6.05%,14.43%,2.10%,
12M 2013,4.07 B,196.11,3.42,0.71,,4.50%,11.19%,1.57%,
12M 2014,4.07 B,229.58,3.25,0.64,,4.39%,11.76%,2.75%,
12M 2015,4.07 B,153.83,3.54,0.42,,2.71%,7.28%,2.85%,
12M 2016,4.07 B,381.02,1.59,0.48,,5.71%,13.08%,4.53%,
12M 2017,4.07 B,256.81,3.43,0.67,,3.62%,8.09%,2.77%,
12M 2018,4.07 B,310.95,3.38,0.94,696.15 B,4.19%,8.45%,2.32%,
12M 2019,4.07 B,339.05,3.23,0.95,738.22 B,4.28%,8.32%,2.34%,
12M 2020,4.07 B,258.58,3.35,1.18,518.72 B,3.07%,5.97%,1.51%,
12M 2021,4.07 B,201.39,3.38,0.97,,2.32%,4.45%,1.55%,
12M 2022,4.07 B,402.91,3.09,1.61,"1,540.69 B",4.59%,8.01%,2.78%,
12M 2023,4.07 B,218.47,4.51,0.28,"4,759.99 B",0.38%,4.47%,3.15%,
12M 2024,4.07 B,341.93,3.09,0.31,"5,020.92 B",0.53%,6.18%,1.81%,
