Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2015,0.06 B,28.97,49.02,0.33,,0.79%,2.15%,16.19%,1.08
12M 2016,0.59 B,2.50,132.00,0.75,,0.45%,0.91%,4.47%,1.02
12M 2017,0.59 B,-17.19,-15.13,0.63,,-2.96%,-6.47%,-0.70%,-0.22
12M 2018,0.59 B,1.50,144.00,0.44,20.17 B,0.26%,0.55%,5.67%,1.65
12M 2019,0.59 B,2.13,117.37,0.52,18.82 B,0.37%,0.77%,6.78%,1.74
12M 2020,0.59 B,4.02,64.68,0.61,5.30 B,0.68%,1.46%,1.12%,0.33
12M 2021,0.59 B,-5.77,-76.60,1.09,16.97 B,-0.97%,-2.05%,4.84%,1.31
12M 2022,0.59 B,3.78,105.29,0.82,22.35 B,0.63%,1.33%,7.47%,1.92
12M 2023,0.59 B,2.14,171.96,0.83,14.43 B,0.36%,0.75%,4.67%,1.20
12M 2024,0.59 B,2.60,161.54,0.86,20.35 B,0.42%,0.90%,6.65%,1.34
