Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2008,8.78 B,204.80,4.54,0.21,,4.54%,20.98%,37.22%,3.75
12M 2009,8.78 B,325.36,10.91,0.84,,7.07%,28.13%,19.04%,3.25
12M 2010,8.78 B,448.13,10.88,1.11,,8.32%,23.44%,20.20%,5.74
12M 2011,8.78 B,350.46,13.13,0.89,,5.74%,15.86%,17.53%,7.32
12M 2012,8.78 B,371.41,15.75,1.03,,5.50%,15.38%,15.79%,6.35
12M 2013,8.78 B,285.16,23.14,1.00,,3.21%,10.59%,12.81%,2.42
12M 2014,8.78 B,442.50,15.25,0.93,,4.52%,15.12%,11.83%,4.64
12M 2015,8.78 B,338.02,15.31,0.71,,3.23%,10.88%,11.33%,2.76
12M 2016,8.78 B,472.02,16.79,1.04,,5.04%,14.30%,12.78%,5.26
12M 2017,8.78 B,473.35,16.11,0.95,,4.73%,13.33%,13.44%,5.84
12M 2018,8.78 B,474.48,15.70,0.89,"11,949.12 B",4.32%,12.39%,13.89%,4.52
12M 2019,8.78 B,558.99,14.18,0.91,"12,978.55 B",5.10%,12.99%,14.37%,5.69
12M 2020,8.78 B,735.23,9.32,0.74,"16,271.78 B",3.96%,15.23%,12.47%,6.87
12M 2021,8.78 B,870.37,7.27,0.56,"20,654.80 B",4.26%,15.83%,12.32%,5.85
12M 2022,8.78 B,724.24,9.29,0.53,"23,525.15 B",3.52%,11.81%,13.64%,2.46
12M 2023,8.78 B,927.86,6.95,0.51,"23,545.83 B",4.37%,13.76%,12.96%,5.58
12M 2024,8.78 B,984.19,7.82,0.58,"27,078.03 B",4.28%,13.27%,14.51%,3.73
