Period,Days Sales Outstanding (Annual),Days Inventory (Annual),Payables Period (Annual),Cash Conversion Cycle (Annual),Receivables Turnover (Annual),Receivables Turnover (TTM),Inventory Turnover (Annual),Inventory Turnover (TTM),Fixed Assets Turnover (Annual),Fixed Assets Turnover (TTM),Asset Turnover (Annual),Asset Turnover (TTM),Working Capital Turnover (Annual),Working Capital Turnover (TTM),Working Capital Ratio (Annual)
12M 2008,,,,,,15.77,,4.73,,4.22,,1.03,-20.01,-20.01,0.88
12M 2009,20.72,75.51,28.38,67.85,17.62,17.84,4.83,5.06,3.64,3.46,0.93,0.92,20.68,20.68,1.16
12M 2010,20.7,75.73,24.11,72.32,17.63,16.06,4.82,4.85,3.41,3.3,0.88,0.85,3.76,3.76,2.04
12M 2011,21.39,67.88,19.73,69.54,17.07,15.82,5.38,4.65,3.68,3.56,0.9,0.85,3.88,3.88,1.91
12M 2012,21.6,71.61,21.19,72.02,16.9,16.74,5.1,4.8,3.49,3.25,0.89,0.86,3.81,3.81,2.0
12M 2013,23.53,67.04,25.71,64.86,15.51,12.31,5.44,5.43,2.98,2.61,0.84,0.76,4.44,4.44,1.67
12M 2014,22.87,65.15,29.5,58.52,15.96,16.88,5.6,5.03,2.82,2.73,0.78,0.74,3.47,3.47,1.81
12M 2015,22.21,62.71,28.98,55.94,16.43,13.87,5.82,5.7,2.72,2.6,0.72,0.7,3.62,3.62,1.71
12M 2016,24.26,62.08,27.47,58.87,15.05,12.22,5.88,5.64,2.63,2.61,0.77,0.76,6.83,6.83,1.51
12M 2017,25.11,65.74,27.56,63.29,14.54,13.28,5.55,5.2,2.53,2.36,0.83,0.8,6.45,6.45,1.5
12M 2018,25.96,73.21,27.81,71.36,14.06,13.05,4.99,4.47,2.03,1.74,0.8,0.76,35.48,35.48,1.07
12M 2019,25.75,72.16,28.96,68.95,14.17,13.63,5.06,5.13,1.79,1.78,0.79,0.79,11.4,11.4,1.27
12M 2020,26.43,69.07,29.64,65.86,13.81,12.09,5.28,5.06,1.84,1.79,0.63,0.5,7.83,7.83,1.37
12M 2021,25.82,65.04,26.1,64.76,14.14,12.98,5.61,4.82,2.15,2.12,0.58,0.57,7.21,7.21,1.34
12M 2022,26.19,69.34,25.0,70.53,13.94,13.02,5.26,4.4,2.35,2.35,0.62,0.61,4.59,4.59,1.79
12M 2023,26.56,76.55,25.87,77.24,13.74,12.98,4.77,4.52,2.36,2.37,0.61,0.6,3.7,3.7,1.92
12M 2024,27.21,80.01,26.91,80.31,13.42,12.12,4.56,4.33,2.43,2.46,0.6,0.58,2.71,2.71,2.15
