Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2008,"2,685 B",,"2,685 B",305.77
12M 2009,"2,315 B",,"2,315 B",263.60
12M 2010,"6,910 B","(2,576 B)","4,334 B",493.62
12M 2011,"4,969 B",(15 B),"4,954 B",564.26
12M 2012,"7,407 B","(4,764 B)","2,643 B",301.03
12M 2013,"6,929 B","(6,541 B)",388 B,44.15
12M 2014,"9,269 B","(5,590 B)","3,680 B",419.08
12M 2015,"4,214 B","(4,619 B)",(405 B),-46.16
12M 2016,"7,176 B","(3,112 B)","4,064 B",462.83
12M 2017,"6,508 B","(6,724 B)",(216 B),-24.59
12M 2018,"5,936 B","(7,236 B)","(1,300 B)",-148.10
12M 2019,"13,344 B","(4,471 B)","8,873 B",1010.55
12M 2020,"13,855 B","(4,398 B)","9,457 B",1077.08
12M 2021,"14,693 B","(4,595 B)","10,098 B",1150.06
12M 2022,"13,588 B","(3,742 B)","9,846 B",1121.36
12M 2023,"18,461 B","(3,688 B)","14,773 B",1682.47
12M 2024,"17,508 B","(5,417 B)","12,091 B",1377.02
