Period,Current Ratio (Annual),Quick Ratio (Annual),Debt to Equity Ratio (Annual),Financial Leverage (Annual),LT Debt/Equity (Annual),LT Debt/Total Assets (Annual),Net Debt/Total Equity (Annual),Total Debt/Total Assets (Annual),Total Liabilities/Equity (Annual)
12M 2008,0.47,0.2,8.68,15.33,0.0,0.0,8.53,0.57,14.33
12M 2009,0.65,0.28,23.65,39.79,0.0,0.0,23.27,0.59,38.79
12M 2010,0.61,0.25,3.93,6.74,0.0,0.0,3.83,0.58,5.74
12M 2011,1.03,0.37,8.77,14.05,0.0,0.0,8.49,0.62,13.05
12M 2012,0.79,0.19,4.3,8.17,0.0,0.0,4.23,0.53,7.17
12M 2013,0.67,0.22,4.38,7.17,0.0,0.0,4.24,0.61,6.17
12M 2014,0.41,0.13,-5.17,-6.72,-0.0,0.0,-5.14,0.77,-7.72
12M 2015,0.29,0.1,-0.0,-4.12,-0.0,0.0,-3.5,0.86,-5.12
12M 2016,0.31,0.1,-2.32,-2.04,-0.0,0.0,-2.26,1.14,-3.04
12M 2017,0.18,0.04,-1.55,-1.36,-0.0,0.0,-1.53,1.13,-2.36
12M 2018,0.12,0.03,-1.4,-1.1,-0.0,0.0,-1.4,1.27,-2.1
12M 2019,0.1,0.03,-1.33,-0.98,-0.0,0.0,-1.33,1.36,-1.98
12M 2020,0.06,0.01,-0.49,-0.87,-0.0,0.0,-0.49,0.56,-1.87
12M 2021,0.08,0.04,-0.49,-0.85,-0.0,0.0,-0.49,0.58,-1.85
12M 2022,0.08,0.04,-0.4,-0.82,-0.0,0.0,-0.39,0.49,-1.82
12M 2023,0.37,0.26,4.45,8.36,0.0,0.0,4.37,0.53,7.36
12M 2024,0.44,0.34,4.99,8.91,0.0,0.0,4.95,0.56,8.19
