Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2008,(19 B),(16 B),(35 B),-105.15
12M 2009,(58 B),4 B,(53 B),-158.90
12M 2010,(8 B),(13 B),(21 B),-63.33
12M 2011,(49 B),(10 B),(59 B),-175.59
12M 2012,14 B,(21 B),(7 B),-21.29
12M 2013,(237 B),(25 B),(262 B),-781.85
12M 2014,(27 B),(2 B),(29 B),-86.19
12M 2015,(58 B),(10 B),(68 B),-203.36
12M 2016,(230 B),(2 B),(232 B),-691.53
12M 2017,(5 B),(1 B),(6 B),-18.33
12M 2018,(25 B),(3 B),(28 B),-83.90
12M 2019,(49 B),(1 B),(50 B),-148.57
12M 2020,(34 B),(0 B),(34 B),-102.28
12M 2021,(10 B),(0 B),(10 B),-30.56
12M 2022,2 B,(18 B),(16 B),-48.17
12M 2023,7 B,(1 B),6 B,1.78
12M 2024,18 B,(3 B),16 B,4.91
