Period,Current Ratio (Annual),Quick Ratio (Annual),Debt to Equity Ratio (Annual),Financial Leverage (Annual),LT Debt/Equity (Annual),LT Debt/Total Assets (Annual),Net Debt/Total Equity (Annual),Total Debt/Total Assets (Annual),Total Liabilities/Equity (Annual)
12M 2008,0.67,0.58,0.87,2.32,0.0,0.0,0.82,0.37,1.32
12M 2009,0.86,0.73,1.11,2.74,0.0,0.0,1.07,0.41,1.74
12M 2010,1.82,1.64,0.56,1.72,0.0,0.0,0.48,0.33,0.72
12M 2011,2.2,2.02,0.51,1.81,0.0,0.0,0.5,0.28,0.81
12M 2012,1.52,1.48,0.5,1.67,0.0,0.0,0.47,0.3,0.67
12M 2013,3.73,3.64,0.57,1.7,0.0,0.0,0.53,0.33,0.7
12M 2014,2.08,2.03,0.69,1.83,0.0,0.0,0.63,0.38,0.83
12M 2015,4.82,4.75,0.41,1.45,0.0,0.0,0.4,0.28,0.45
12M 2016,3.16,3.12,0.37,1.51,0.0,0.0,0.35,0.25,0.51
12M 2017,6.74,6.57,0.39,1.42,0.0,0.0,0.38,0.27,0.42
12M 2018,3.97,3.91,0.45,1.5,0.0,0.0,0.44,0.3,0.5
12M 2019,1.19,1.17,1.0,2.23,0.0,0.0,0.99,0.45,1.23
12M 2020,0.02,0.01,-0.57,-5.48,-0.0,0.0,-0.56,0.1,-6.48
12M 2021,0.01,0.01,-0.13,-6.54,-0.0,0.0,-0.12,0.02,-7.54
12M 2022,0.04,0.04,-0.05,-3.94,-0.0,0.0,-0.04,0.01,-4.94
