Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2008,1.57 B,21.21,27.35,1.76,,2.48%,5.75%,9.51%,
12M 2009,1.57 B,-115.09,-4.08,1.53,,-15.35%,-42.03%,6.58%,
12M 2010,1.57 B,17.50,16.00,1.31,,2.01%,3.45%,5.61%,
12M 2011,1.57 B,7.50,34.00,1.29,,0.81%,1.47%,1.14%,0.50
12M 2012,1.57 B,20.14,12.91,0.91,,2.21%,3.69%,5.85%,2.38
12M 2013,1.57 B,25.80,7.02,0.70,,2.56%,4.36%,13.28%,4.44
12M 2014,7.84 B,3.12,32.37,2.21,,1.38%,2.53%,6.11%,1.61
12M 2015,7.84 B,1.70,100.00,5.90,,0.54%,0.79%,3.34%,0.87
12M 2016,7.84 B,0.56,89.29,1.87,,0.17%,0.25%,2.10%,0.78
12M 2017,7.84 B,1.30,38.46,1.57,,0.41%,0.58%,4.12%,1.69
12M 2018,7.84 B,1.48,33.78,1.28,142.54 B,0.43%,0.65%,4.34%,1.41
12M 2019,7.84 B,-44.51,-1.12,2.27,(42.01 B),-19.55%,-43.57%,-4.35%,-2.60
12M 2020,7.84 B,-121.30,-0.41,11.95,(12.86 B),-111.49%,610.48%,-12.11%,-2.01
12M 2021,7.84 B,-17.18,-2.91,65.22,(6.83 B),-20.92%,136.91%,44.43%,-6.38
12M 2022,7.84 B,-7.33,-6.82,5.35,23.57 B,-9.34%,36.82%,1.11%,-0.04
