Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2008,(16 B),(90 B),(106 B),-126.96
12M 2009,27 B,(30 B),(2 B),-2.66
12M 2010,115 B,(26 B),89 B,106.98
12M 2011,138 B,(10 B),128 B,154.28
12M 2012,105 B,(73 B),32 B,38.38
12M 2013,309 B,(96 B),213 B,255.89
12M 2014,(73 B),(46 B),(118 B),-142.52
12M 2015,16 B,(18 B),(2 B),-2.35
12M 2016,194 B,(38 B),156 B,187.71
12M 2017,69 B,(42 B),27 B,6.42
12M 2018,68 B,(158 B),(91 B),-21.79
12M 2019,169 B,(172 B),(3 B),-0.68
12M 2020,(138 B),(64 B),(202 B),-48.56
12M 2021,58 B,(72 B),(13 B),-3.21
12M 2022,81 B,(33 B),48 B,11.55
12M 2023,(54 B),(55 B),(109 B),-26.15
12M 2024,278 B,(9 B),268 B,64.61
