Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2009,49 B,(88 B),(39 B),-13.37
12M 2010,111 B,(267 B),(156 B),-54.06
12M 2011,69 B,(112 B),(43 B),-14.83
12M 2012,201 B,(249 B),(48 B),-16.56
12M 2013,339 B,(152 B),186 B,64.57
12M 2014,348 B,(296 B),52 B,18.03
12M 2015,552 B,(422 B),130 B,45.27
12M 2016,697 B,(580 B),117 B,40.54
12M 2017,793 B,(469 B),323 B,112.19
12M 2018,869 B,(197 B),672 B,233.26
12M 2019,"1,256 B",(287 B),969 B,336.17
12M 2020,"1,133 B",(573 B),560 B,194.14
12M 2021,"1,142 B",(423 B),719 B,249.52
12M 2022,"1,587 B",(540 B),"1,047 B",363.18
12M 2023,"1,315 B",(693 B),622 B,18.61
12M 2024,"1,598 B",(790 B),808 B,24.16
