Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2007,2.55,107.44,2.65,103.23,,,,,
12M 2008,3.62,98.41,3.68,96.83,,,,,
12M 2009,3.03,105.12,3.04,104.50,,,,,
12M 2010,6.03,128.46,6.08,127.33,,,,,
12M 2011,3.01,138.38,3.04,137.17,,,,,
12M 2012,2.38,168.77,2.41,166.74,,,,,
12M 2013,1.55,200.33,1.57,197.52,,,,,
12M 2014,0.98,213.18,0.99,209.91,,,,,
12M 2015,0.75,228.88,0.76,225.74,,,,,
12M 2016,1.21,280.70,1.23,277.01,,,,,
12M 2017,0.87,302.06,0.88,298.58,,,,,
12M 2018,0.64,324.32,0.64,321.87,,,,,
12M 2019,0.60,344.41,0.60,341.41,,,,,
12M 2020,0.98,352.13,0.99,349.34,,,,,
12M 2021,0.89,371.33,0.90,368.78,,,,,
12M 2022,0.60,381.20,0.60,378.28,,,,,
12M 2023,0.61,397.01,0.62,392.24,,,,,
12M 2024,0.52,401.58,0.52,396.78,,,,,
