Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2009,0.61 B,400.00,0.00,0.00,,17.29%,30.28%,42.32%,6.44
12M 2010,1.53 B,129.36,0.00,0.00,,9.97%,18.08%,17.33%,6.27
12M 2011,1.75 B,140.98,6.17,1.42,,8.81%,14.90%,16.66%,6.37
12M 2012,1.75 B,201.74,4.91,1.27,,10.57%,17.69%,17.21%,6.67
12M 2013,1.75 B,266.87,3.78,0.96,,10.85%,16.25%,17.76%,7.80
12M 2014,1.75 B,143.11,6.99,1.04,,5.73%,8.18%,9.56%,6.02
12M 2015,1.75 B,-92.59,-2.86,0.39,,-3.82%,-5.38%,1.03%,0.70
12M 2016,1.75 B,-227.13,-1.40,0.64,,-11.36%,-15.70%,-4.26%,-3.13
12M 2017,1.75 B,-67.71,-8.71,1.13,,-3.64%,-4.88%,-2.75%,-1.68
12M 2018,1.75 B,-139.60,-3.50,0.80,341.88 B,-7.04%,-10.38%,-2.15%,-1.19
12M 2019,1.75 B,12.83,37.57,0.77,387.22 B,0.74%,1.01%,3.18%,1.43
12M 2020,1.75 B,-124.85,-3.78,1.03,215.23 B,-7.95%,-10.69%,-3.74%,-2.90
12M 2021,1.75 B,94.04,11.59,1.82,408.63 B,6.49%,7.37%,4.63%,11.43
12M 2022,1.75 B,213.57,5.60,1.59,623.97 B,11.36%,12.96%,11.64%,26.41
12M 2023,1.75 B,214.63,5.64,2.20,408.89 B,9.85%,11.60%,6.34%,12.88
12M 2024,1.75 B,168.81,6.04,2.15,354.09 B,7.40%,8.37%,5.41%,5.53
