Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2009,222 B,(355 B),(133 B),-218.62
12M 2010,295 B,(678 B),(383 B),-250.26
12M 2011,318 B,(729 B),(411 B),-234.61
12M 2012,547 B,(563 B),(16 B),-8.95
12M 2013,694 B,(44 B),649 B,371.13
12M 2014,404 B,(82 B),323 B,184.29
12M 2015,419 B,(123 B),296 B,169.15
12M 2016,278 B,(83 B),194 B,111.12
12M 2017,240 B,(144 B),95 B,54.32
12M 2018,279 B,(379 B),(100 B),-57.10
12M 2019,339 B,(131 B),209 B,119.19
12M 2020,241 B,(197 B),44 B,25.13
12M 2021,338 B,(121 B),217 B,124.17
12M 2022,725 B,(336 B),390 B,222.82
12M 2023,256 B,(432 B),(175 B),-100.24
12M 2024,365 B,(77 B),287 B,164.24
