Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2011,(150 B),(53 B),(203 B),-1320696.68
12M 2012,(167 B),(31 B),(198 B),-58.18
12M 2013,(100 B),(31 B),(131 B),-38.64
12M 2014,(98 B),(62 B),(160 B),-47.13
12M 2015,(93 B),(50 B),(144 B),-42.35
12M 2016,177 B,(18 B),159 B,46.73
12M 2017,178 B,(118 B),61 B,17.87
12M 2018,123 B,(120 B),3 B,0.78
12M 2019,(146 B),(116 B),(262 B),-77.16
12M 2020,301 B,(149 B),152 B,44.86
12M 2021,108 B,(120 B),(12 B),-3.61
12M 2022,(146 B),(253 B),(400 B),-112.06
12M 2023,477 B,(215 B),262 B,71.04
12M 2024,748 B,(432 B),317 B,85.79
