Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2011,0.00 B,64232.03,0.00,0.00,,0.92%,7.47%,37.77%,1.25
12M 2012,3.40 B,8.67,49.02,1.82,,1.40%,4.02%,14.23%,1.30
12M 2013,3.40 B,27.09,10.34,0.93,,4.24%,11.16%,12.57%,1.89
12M 2014,3.40 B,12.64,12.26,0.46,,1.71%,5.13%,10.44%,1.39
12M 2015,3.40 B,10.05,9.95,0.24,,1.18%,4.00%,10.73%,1.32
12M 2016,3.40 B,18.28,10.67,0.42,,2.05%,6.87%,11.57%,1.47
12M 2017,3.40 B,30.37,6.65,0.00,,3.12%,10.47%,12.61%,1.77
12M 2018,3.40 B,42.24,8.62,0.66,790.47 B,3.53%,13.21%,13.15%,2.00
12M 2019,3.40 B,32.50,22.77,1.08,873.09 B,2.28%,9.26%,10.71%,1.43
12M 2020,3.40 B,25.65,24.76,0.71,921.73 B,1.69%,6.79%,8.53%,1.23
12M 2021,3.40 B,41.98,79.09,2.22,"1,169.60 B",2.36%,9.38%,10.79%,1.94
12M 2022,3.57 B,28.89,26.83,0.47,"1,131.96 B",1.42%,6.37%,5.21%,1.02
12M 2023,3.69 B,28.11,28.10,0.66,"1,238.63 B",1.41%,5.59%,5.90%,1.21
12M 2024,3.69 B,66.04,10.45,0.51,"1,641.07 B",3.16%,12.48%,12.08%,2.40
