Period,Current Ratio (Annual),Quick Ratio (Annual),Debt to Equity Ratio (Annual),Financial Leverage (Annual),LT Debt/Equity (Annual),LT Debt/Total Assets (Annual),Net Debt/Total Equity (Annual),Total Debt/Total Assets (Annual),Total Liabilities/Equity (Annual)
12M 2011,0.32,0.32,6.27,8.17,0.0,0.0,6.21,0.77,7.16
12M 2012,1.1,1.1,1.65,2.88,0.0,0.0,1.22,0.57,1.88
12M 2013,0.49,0.49,1.41,2.63,0.0,0.0,1.38,0.53,1.63
12M 2014,0.4,0.4,1.74,2.99,0.0,0.0,1.71,0.58,1.99
12M 2015,0.42,0.42,2.09,3.39,0.0,0.0,2.06,0.62,2.39
12M 2016,0.49,0.49,2.02,3.35,0.0,0.0,1.98,0.6,2.35
12M 2017,0.43,0.43,2.03,3.36,0.0,0.0,1.95,0.61,2.36
12M 2018,0.47,0.47,2.16,3.74,0.0,0.0,1.95,0.58,2.69
12M 2019,0.53,0.53,2.44,4.07,0.0,0.0,2.23,0.6,2.95
12M 2020,0.44,0.44,2.3,4.03,0.0,0.0,2.15,0.57,2.91
12M 2021,0.9,0.9,2.28,3.97,0.0,0.0,1.99,0.57,2.81
12M 2022,0.86,0.86,2.45,4.49,0.0,0.0,1.88,0.55,2.97
12M 2023,0.88,0.88,2.08,3.95,0.0,0.0,1.67,0.53,2.55
12M 2024,0.84,0.84,2.06,3.95,0.0,0.0,1.75,0.52,2.53
