Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2008,0.40 B,4.41,32.88,1.37,,4.08%,4.51%,10.10%,
12M 2009,0.40 B,-5.74,-24.04,3.02,,-6.15%,-6.24%,-5.02%,
12M 2010,0.40 B,5.60,18.04,85.12,,5.55%,5.74%,-17.86%,
12M 2011,0.40 B,-16.59,-6.09,1.34,,-17.69%,-20.50%,-15.92%,-49.65
12M 2012,24.68 B,0.55,581.82,108.07,,0.37%,0.54%,0.65%,0.26
12M 2013,24.68 B,15.98,27.85,801.64,,6.18%,11.04%,-2.00%,-1.73
12M 2014,24.68 B,2.34,182.48,157.87,,0.85%,1.56%,2.65%,1.02
12M 2015,24.81 B,-20.69,-22.72,435.61,,-3.01%,-14.30%,-5.00%,-1.72
12M 2016,24.81 B,-46.57,-2.45,799.03,,-19.10%,-49.50%,-19.41%,-7.62
12M 2017,24.81 B,-10.01,-5.00,116.88,,-3.91%,-11.80%,-0.37%,-0.07
