Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2010,11.55 B,-120.18,-2.75,0.65,,-5.45%,-22.57%,2.65%,0.44
12M 2011,11.55 B,-778.72,-0.24,0.40,,-57.47%,204.68%,-8.47%,-0.71
12M 2012,11.55 B,-603.02,-0.33,0.52,,-65.00%,57.24%,-5.98%,-0.37
12M 2013,11.55 B,188.34,1.04,0.56,,22.06%,-15.77%,-1.40%,-0.09
12M 2014,11.55 B,-42.50,-4.61,0.58,,-5.74%,3.36%,2.31%,0.15
12M 2015,23.48 B,106.77,1.84,1.36,,179.76%,493.74%,8.25%,0.27
12M 2016,23.48 B,-8.92,-21.97,17.08,,-15.38%,-36.15%,-4.04%,-1.78
12M 2017,23.48 B,-4.95,-39.60,13.62,,-10.86%,-29.05%,-1.77%,-0.70
12M 2018,23.48 B,3.29,59.57,12.95,70.15 B,7.48%,18.43%,-1.11%,-0.39
12M 2019,25.94 B,-0.48,-104.17,4.57,48.79 B,-1.32%,-2.90%,-2.71%,-0.97
12M 2020,25.94 B,-0.46,-108.70,4.84,76.01 B,-1.28%,-3.03%,2.14%,1.14
12M 2021,25.94 B,3.25,15.38,4.61,81.72 B,8.40%,18.43%,2.64%,0.83
12M 2022,25.94 B,5.18,9.65,3.70,105.26 B,11.10%,21.58%,4.98%,1.84
12M 2023,25.94 B,9.18,5.45,2.18,228.66 B,16.59%,26.78%,14.00%,7.61
12M 2024,25.94 B,2.18,9.63,0.85,328.87 B,2.31%,5.37%,6.65%,2.13
