Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2011,356 B,"(1,310 B)",(954 B),-82.56
12M 2012,189 B,(92 B),96 B,8.35
12M 2013,77 B,(54 B),23 B,1.99
12M 2014,389 B,(123 B),266 B,23.05
12M 2015,315 B,(98 B),216 B,9.22
12M 2016,(27 B),(70 B),(98 B),-4.16
12M 2017,46 B,(110 B),(64 B),-2.74
12M 2018,23 B,(21 B),1 B,0.06
12M 2019,21 B,(19 B),2 B,0.09
12M 2020,71 B,(57 B),13 B,0.51
12M 2021,56 B,(15 B),40 B,1.56
12M 2022,35 B,(86 B),(51 B),-1.96
12M 2023,243 B,(14 B),229 B,8.84
12M 2024,250 B,(166 B),84 B,3.23
