Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2013,79 B,(2 B),77 B,257030035.02
12M 2014,129 B,(0 B),129 B,428704543.41
12M 2015,102 B,(21 B),81 B,809411.28
12M 2016,142 B,(262 B),(120 B),-47.85
12M 2017,236 B,(423 B),(187 B),-74.79
12M 2018,448 B,(924 B),(476 B),-174.83
12M 2019,418 B,(32 B),386 B,142.07
12M 2020,509 B,(397 B),112 B,41.32
12M 2021,531 B,(786 B),(254 B),-93.47
12M 2022,830 B,"(1,178 B)",(348 B),-127.97
12M 2023,835 B,"(1,233 B)",(397 B),-146.12
12M 2024,"1,060 B",(816 B),243 B,89.48
