Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2013,0.00 B,244040994.72,0.00,0.00,,11.44%,24.45%,21.75%,4.17
12M 2014,0.00 B,244868779.87,0.00,0.00,,12.29%,19.42%,20.09%,5.17
12M 2015,0.00 B,595730.42,0.00,0.00,,10.29%,14.08%,15.46%,6.56
12M 2016,2.50 B,26.83,18.56,5.21,,4.93%,12.33%,8.55%,2.50
12M 2017,2.50 B,44.44,17.78,3.19,,4.54%,16.96%,14.95%,3.83
12M 2018,2.72 B,52.89,17.11,2.56,484.33 B,4.25%,13.70%,13.82%,3.47
12M 2019,2.72 B,72.56,10.54,1.62,622.53 B,5.92%,16.95%,15.47%,4.42
12M 2020,2.72 B,90.76,6.61,1.31,692.22 B,5.94%,17.90%,15.14%,5.18
12M 2021,2.72 B,78.95,12.41,1.84,814.75 B,4.62%,14.12%,12.90%,3.92
12M 2022,2.72 B,103.31,8.52,1.19,"1,043.20 B",4.75%,14.75%,13.69%,4.17
12M 2023,2.72 B,103.61,10.09,1.14,"1,265.33 B",4.22%,13.27%,12.49%,3.19
12M 2024,2.72 B,101.47,9.95,0.94,"1,416.25 B",3.53%,11.27%,11.16%,3.10
