Period,Days Sales Outstanding (Annual),Days Inventory (Annual),Payables Period (Annual),Cash Conversion Cycle (Annual),Receivables Turnover (Annual),Receivables Turnover (TTM),Inventory Turnover (Annual),Inventory Turnover (TTM),Fixed Assets Turnover (Annual),Fixed Assets Turnover (TTM),Asset Turnover (Annual),Asset Turnover (TTM),Working Capital Turnover (Annual),Working Capital Turnover (TTM),Working Capital Ratio (Annual)
12M 2009,,,,,,,,,,,,,-8.36,,0.66
12M 2010,21.68,,,,16.84,31.17,,,3.26,6.97,1.37,2.86,-14.53,-14.53,0.74
12M 2011,19.11,,,,19.1,17.84,,,5.1,5.52,1.72,1.51,29.62,29.62,1.16
12M 2012,15.45,,,,23.62,23.73,,,5.26,4.77,1.59,1.48,-29.52,-29.52,0.84
12M 2013,11.92,,,,30.63,26.23,,,4.97,4.45,1.5,1.3,-22.55,-22.55,0.83
12M 2014,11.96,,,,30.51,29.1,,,4.45,4.33,1.31,1.27,-9.62,-9.62,0.66
12M 2015,11.35,,,,32.16,24.85,,,4.36,4.25,1.21,1.12,-19.7,-19.7,0.84
12M 2016,15.07,,,,24.22,19.88,,,4.21,4.33,1.07,1.06,-9.6,-9.6,0.75
12M 2017,18.53,,,,19.7,16.98,,,4.54,4.79,1.1,1.1,-4.41,-4.41,0.51
12M 2018,26.66,,,,13.69,11.32,,,4.82,4.62,1.09,1.0,-3.93,-3.93,0.55
12M 2019,26.72,,,,13.66,13.41,,,4.38,4.11,1.03,1.04,-2.19,-2.19,0.35
12M 2020,42.26,,,,8.64,10.74,,,0.29,0.19,0.2,0.15,-0.41,-0.41,0.12
12M 2021,27.83,,,,13.12,12.76,,,0.18,0.19,0.15,0.16,-0.25,-0.25,0.05
12M 2022,17.27,,,,21.13,19.96,,,0.4,0.44,0.31,0.33,-2.28,-2.28,0.48
12M 2023,15.22,,,,23.98,15.53,,,0.59,0.61,0.45,0.45,-5.67,-5.67,0.56
12M 2024,14.69,,,,24.85,19.95,,,0.67,0.7,0.51,0.53,-5.41,-5.41,0.47
