Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2009,"1,370 B","(1,555 B)",(186 B),-20354.70
12M 2010,"1,602 B","(1,010 B)",592 B,32.46
12M 2011,"1,903 B","(1,560 B)",344 B,15.18
12M 2012,"3,527 B","(4,192 B)",(666 B),-29.40
12M 2013,"1,696 B","(6,918 B)","(5,222 B)",-174.06
12M 2014,(674 B),"(2,472 B)","(3,145 B)",-121.59
12M 2015,"2,475 B","(1,365 B)","1,110 B",42.91
12M 2016,"1,445 B",(497 B),948 B,36.64
12M 2017,(835 B),(646 B),"(1,481 B)",-57.21
12M 2018,"3,921 B",(292 B),"3,629 B",140.19
12M 2019,"7,133 B","(2,556 B)","4,577 B",176.81
12M 2020,"1,557 B",(326 B),"1,231 B",47.55
12M 2021,"1,177 B",(45 B),"1,132 B",43.73
12M 2022,"4,075 B","(1,327 B)","2,748 B",30.04
12M 2023,"3,379 B",(677 B),"2,702 B",29.53
12M 2024,"9,464 B","(2,579 B)","6,885 B",75.26
