Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2009,0.01 B,98618.95,0.00,0.00,,6.08%,27.98%,21.72%,3.50
12M 2010,18.24 B,16.07,0.00,0.00,,2.14%,8.48%,-0.80%,-0.41
12M 2011,22.64 B,35.58,13.35,0.40,,4.47%,10.69%,9.84%,5.83
12M 2012,22.64 B,47.24,13.97,0.45,,4.39%,9.94%,11.13%,6.66
12M 2013,30.00 B,4.49,111.36,0.33,,0.37%,0.99%,0.38%,0.11
12M 2014,25.87 B,-179.40,-3.09,0.29,,-12.03%,-41.27%,-18.94%,-4.92
12M 2015,25.87 B,39.59,7.81,0.16,,2.24%,7.95%,4.24%,1.21
12M 2016,25.87 B,4.15,81.45,0.17,,0.21%,0.81%,3.10%,0.77
12M 2017,25.89 B,-111.98,-2.68,0.14,,-5.69%,-23.91%,-2.99%,-0.68
12M 2018,25.89 B,0.45,662.22,0.12,(376.96 B),0.02%,0.09%,-11.13%,-2.40
12M 2019,25.89 B,3.82,130.37,0.20,"4,885.74 B",0.16%,1.02%,10.40%,1.17
12M 2020,25.89 B,-1375.69,-0.29,0.48,"(4,163.83 B)",-23.40%,131.52%,-48.78%,-3.27
12M 2021,25.89 B,-2299.53,-0.10,0.30,(187.91 B),-57.96%,68.66%,-32.54%,-2.23
12M 2022,91.48 B,607.83,0.34,0.60,"4,547.88 B",57.20%,-238.06%,-13.67%,-1.02
12M 2023,91.48 B,41.70,1.65,0.14,"12,464.37 B",3.67%,-19.81%,6.03%,0.68
12M 2024,91.48 B,-12.60,-4.37,0.09,"14,306.98 B",-1.08%,5.41%,5.63%,0.64
