Period,Current Ratio (Annual),Quick Ratio (Annual),Debt to Equity Ratio (Annual),Financial Leverage (Annual),LT Debt/Equity (Annual),LT Debt/Total Assets (Annual),Net Debt/Total Equity (Annual),Total Debt/Total Assets (Annual),Total Liabilities/Equity (Annual)
12M 2008,1.05,0.7,1.37,2.75,0.0,0.0,1.13,0.5,1.7
12M 2009,1.04,0.72,0.78,2.15,0.0,0.0,0.7,0.36,1.1
12M 2010,1.03,0.67,1.02,2.58,0.0,0.0,0.79,0.4,1.53
12M 2011,1.25,0.72,1.21,2.77,0.0,0.0,1.05,0.44,1.71
12M 2012,1.13,0.8,1.31,2.84,0.0,0.0,1.19,0.46,1.78
12M 2013,1.08,0.85,1.31,2.94,0.0,0.0,1.25,0.45,1.85
12M 2014,1.05,0.76,1.57,2.96,0.0,0.0,1.52,0.53,1.87
12M 2015,1.0,0.75,1.38,3.18,0.0,0.0,1.35,0.44,2.1
12M 2016,1.0,0.59,1.24,2.71,0.0,0.0,1.07,0.46,1.63
12M 2017,1.01,0.57,1.19,2.65,0.0,0.0,1.13,0.45,1.57
12M 2018,1.0,0.54,1.3,2.98,0.0,0.0,1.25,0.44,1.9
12M 2019,1.01,0.57,1.06,2.52,0.0,0.0,1.04,0.42,1.44
12M 2020,1.14,0.67,0.99,2.43,0.0,0.0,0.94,0.41,1.34
12M 2021,1.17,0.85,0.91,2.34,0.0,0.0,0.86,0.39,1.26
12M 2022,1.33,0.81,0.96,2.38,0.0,0.0,0.91,0.4,1.3
12M 2023,1.36,1.06,0.91,2.27,0.0,0.0,0.83,0.4,1.18
12M 2024,1.44,1.11,1.15,2.57,0.0,0.0,1.1,0.45,1.48
