Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2011,(66 B),(54 B),(120 B),-816.64
12M 2012,13 B,(45 B),(32 B),-15.27
12M 2013,(35 B),(86 B),(121 B),-57.65
12M 2014,45 B,(124 B),(80 B),-37.92
12M 2015,63 B,(66 B),(3 B),-1.50
12M 2016,137 B,(53 B),84 B,39.97
12M 2017,195 B,(35 B),159 B,75.89
12M 2018,141 B,(56 B),85 B,40.63
12M 2019,199 B,(65 B),134 B,64.00
12M 2020,216 B,(19 B),196 B,93.53
12M 2021,181 B,(44 B),137 B,65.25
12M 2022,300 B,(36 B),264 B,125.88
12M 2023,(199 B),(50 B),(249 B),-118.79
12M 2024,157 B,(145 B),12 B,5.82
