Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2012,1.00 B,50.46,0.00,0.00,,3.18%,21.64%,13.87%,5.07
12M 2013,1.16 B,43.14,220.31,4.39,,1.92%,3.09%,4.34%,4.15
12M 2014,1.16 B,54.12,253.22,4.74,,2.20%,3.80%,5.73%,2.40
12M 2015,1.16 B,60.89,160.95,2.73,,2.36%,4.04%,6.69%,2.76
12M 2016,1.30 B,66.05,165.09,2.74,,2.04%,2.75%,7.58%,4.26
12M 2017,1.63 B,57.55,166.39,2.66,,1.23%,1.49%,4.29%,5.52
12M 2018,1.63 B,9.95,361.01,0.98,689.55 B,0.21%,0.26%,2.85%,4.63
12M 2019,1.63 B,-208.38,-33.36,1.61,445.58 B,-4.38%,-5.70%,-1.53%,-1.91
12M 2020,1.63 B,71.45,77.03,1.26,"1,197.42 B",1.38%,1.95%,5.96%,4.28
12M 2021,1.63 B,414.65,20.68,1.49,"1,969.14 B",7.25%,10.46%,14.74%,15.68
12M 2022,13.01 B,53.55,23.53,1.72,"1,984.28 B",7.21%,10.01%,14.04%,15.06
12M 2023,13.01 B,93.13,23.41,2.53,"2,670.58 B",11.03%,15.30%,21.72%,20.63
12M 2024,13.01 B,69.36,46.71,3.45,"2,448.74 B",6.35%,10.53%,16.27%,14.85
